date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Aug,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Aug,1,0,0,,,,
3-Aug,1,0,0,,,,
4-Aug,1,0,0,,,,
5-Aug,1,0,0,,,,
6-Aug,1,0,0,,,,
7-Aug,1,0,0,,,,
8-Aug,1,0,0,,,,
9-Aug,1,0,0,,,,
10-Aug,1,0,0,,,,
11-Aug,1,0,0,,,,
19-Aug,1,0,0,,,,
20-Aug,1,0,0,,,,
21-Aug,1,0,0,,,,
22-Aug,1,0,0,,,,
23-Aug,1,0,0,,,,
24-Aug,1,0,0,,,,
25-Aug,1,0,0,,,,
26-Aug,1,0,0,,,,
27-Aug,1,0,0,,,,
28-Aug,1,0,0,,,,
29-Aug,1,0,0,,,,
30-Aug,1,0,0,,,,
31-Aug,1,0,0,,,,
,,,,,,,
,,,,,,,
