date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Nov,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Nov,1,0,0,,,,
3-Nov,1,0,0,,,,
4-Nov,1,0,0,,,,
5-Nov,1,0,0,,,,
6-Nov,1,0,0,,,,
7-Nov,1,0,0,,,,
8-Nov,1,0,0,,,,
9-Nov,1,0,0,,,,
10-Nov,1,0,0,,,,
11-Nov,1,0,0,,,,
12-Nov,1,0,0,,,,
13-Nov,1,0,0,,,,
14-Nov,1,0,0,,,,
15-Nov,1,0,0,,,,
16-Nov,1,0,0,,,,
17-Nov,1,0,0,,,,
18-Nov,1,0,0,,,,
19-Nov,1,0,0,,,,
20-Nov,1,0,0,,,,
21-Nov,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
