date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Jun,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Jun,1,0,0,,,,
9-Jun,1,0,0,,,,
10-Jun,1,0,0,,,,
11-Jun,1,0,0,,,,
12-Jun,1,0,0,,,,
13-Jun,1,0,0,,,,
14-Jun,1,0,0,,,,
15-Jun,1,0,0,,,,
16-Jun,1,0,0,,,,
17-Jun,1,0,0,,,,
18-Jun,1,0,0,,,,
19-Jun,1,0,0,,,,
20-Jun,1,0,0,,,,
21-Jun,1,0,0,,,,
22-Jun,1,0,0,,,,
23-Jun,1,0,0,,,,
24-Jun,1,0,0,,,,
25-Jun,1,0,0,,,,
26-Jun,1,0,0,,,,
27-Jun,1,0,0,,,,
28-Jun,1,0,0,,,,
29-Jun,1,0,0,,,,
30-Jun,1,0,0,,,,
,,,,,,,
,,,,,,,
