date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Feb,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Feb,1,0,0,,,,
3-Feb,1,0,0,,,,
4-Feb,1,0,0,,,,
5-Feb,1,0,0,,,,
6-Feb,1,0,0,,,,
12-Feb,1,0,0,,,,
13-Feb,1,0,0,,,,
14-Feb,1,0,0,,,,
15-Feb,1,0,0,,,,
16-Feb,1,0,0,,,,
17-Feb,1,0,0,,,,
18-Feb,1,0,0,,,,
19-Feb,1,0,0,,,,
22-Feb,1,0,0,,,,
23-Feb,1,0,0,,,,
24-Feb,1,0,0,,,,
25-Feb,1,0,0,,,,
26-Feb,1,0,0,,,,
27-Feb,1,0,0,,,,
28-Feb,1,0,0,,,,
29-Feb,1,0,0,,,,
,,,,,This month has another folder that says old processed,,
,,,,,,,
,,,,,,,
,,,,,,,
