date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Aug,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
2-Aug,1,1,1,P12A,,,
3-Aug,1,0,0,,unprocessed files are there but no processing has been done,,
4-Aug,1,1,1,P12A,,,
5-Aug,1,1,1,P12A,,,
6-Aug,1,1,1,P12A,,,
7-Aug,1,1,1,P12A,,,
8-Aug,1,1,1,P12A,,,
9-Aug,1,1,1,P12A,,,
10-Aug,1,0,0,,,,
11-Aug,1,0,0,,,,
12-Aug,1,0,0,,,,
13-Aug,1,0,0,,,,
14-Aug,1,0,0,,,,
21-Aug,1,0,0,,,,
22-Aug,1,0,0,,,,
23-Aug,1,0,0,,,,
24-Aug,1,0,0,,,,
25-Aug,1,0,0,,,,
26-Aug,1,0,0,,,,
27-Aug,1,0,0,,,,
28-Aug,1,0,0,,,,
29-Aug,1,0,0,,,,
30-Aug,1,0,0,,,,
31-Aug,1,0,0,,,,
,,,,,,,
