date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Sep,1,0,0,,,,Ex: Jan01-02 is listed 1-Jan
2-Sep,1,0,0,,,,
3-Sep,1,0,0,,,,
4-Sep,1,0,0,,,,
5-Sep,1,0,0,,,,
6-Sep,1,0,0,,,,
7-Sep,1,0,0,,,,
8-Sep,1,0,0,,,,
9-Sep,1,0,0,,,,
10-Sep,1,0,0,,,,
11-Sep,1,0,0,,,,
12-Sep,1,0,0,,,,
13-Sep,1,0,0,,,,
19-Sep,1,0,0,,,,
20-Sep,1,0,0,,,,
21-Sep,1,0,0,,,,
22-Sep,1,0,0,,,,
23-Sep,1,0,0,,,,
24-Sep,1,0,0,,,,
25-Sep,1,0,0,,,,
26-Sep,1,0,0,,,,
27-Sep,1,0,0,,,,
28-Sep,1,0,0,,,,
29-Sep,1,0,0,,,,
30-Sep,1,0,0,,,,
,,,,,,,
